ofat_factor,ofat_value,agent,size,map_type,enemy_profile,item_profile,wall_profile,player_hp,enemy_hp,episodes,wins,win_rate,win_rate_ci_low,win_rate_ci_high,avg_turns,std_turns,avg_damage_taken,avg_final_hp,avg_remaining_enemies,avg_remaining_enemies_on_losses,avg_chokepoints,avg_reachable_floor_fraction
size,large,heuristic,large,baseline,medium_plus,many,open,4,2,30,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,11.566666666666666,1.8381754238616315,3.2333333333333334,0.7666666666666667,0.6,1.125,4.033333333333333,0.9782260000336945
size,large,mcts_medium,large,baseline,medium_plus,many,open,4,2,30,22,0.7333333333333333,0.5555169795568831,0.8581750444608938,19.533333333333335,3.964284999284935,2.533333333333333,1.4666666666666666,0.4666666666666667,1.75,4.033333333333333,0.9782260000336945
size,large,mcts_small,large,baseline,medium_plus,many,open,4,2,30,22,0.7333333333333333,0.5555169795568831,0.8581750444608938,19.166666666666668,5.0733508541090355,2.7,1.3,0.5,1.875,4.033333333333333,0.9782260000336945
size,large,random,large,baseline,medium_plus,many,open,4,2,30,0,0.0,0.0,0.113517091390478,16.3,4.838388161361178,4.0,0.0,2.466666666666667,2.466666666666667,4.033333333333333,0.9782260000336945
size,small,heuristic,small,baseline,medium_plus,many,open,4,2,30,30,1.0,0.8864829086095221,1.0,4.466666666666667,0.8055363982396381,1.2333333333333334,2.7666666666666666,0.0,0.0,0.5,0.9682176929911749
size,small,mcts_medium,small,baseline,medium_plus,many,open,4,2,30,30,1.0,0.8864829086095221,1.0,10.766666666666667,3.963864556493098,1.2,2.8,0.0,0.0,0.5,0.9682176929911749
size,small,mcts_small,small,baseline,medium_plus,many,open,4,2,30,29,0.9666666666666667,0.8332924860304112,0.9940915620051425,11.7,3.1000000000000005,1.8666666666666667,2.1333333333333333,0.03333333333333333,1.0,0.5,0.9682176929911749
size,small,random,small,baseline,medium_plus,many,open,4,2,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,13.8,4.721581655900207,2.6666666666666665,1.3333333333333333,0.3333333333333333,1.0,0.5,0.9682176929911749
wall_profile,normal,heuristic,medium,baseline,medium_plus,many,normal,4,2,30,17,0.5666666666666667,0.3919700954540873,0.7262276256938489,10.866666666666667,1.892675942210452,3.3,0.7,0.4666666666666667,1.0769230769230769,11.033333333333333,0.92584434973402
wall_profile,normal,mcts_medium,medium,baseline,medium_plus,many,normal,4,2,30,21,0.7,0.5212387898833981,0.8333543735604105,18.8,6.64529909033446,2.8666666666666667,1.1333333333333333,0.43333333333333335,1.4444444444444444,11.033333333333333,0.92584434973402
wall_profile,normal,mcts_small,medium,baseline,medium_plus,many,normal,4,2,30,18,0.6,0.42320052498273836,0.7540960567391659,17.1,5.545869333717363,3.1333333333333333,0.8666666666666667,0.7333333333333333,1.8333333333333333,11.033333333333333,0.92584434973402
wall_profile,normal,random,medium,baseline,medium_plus,many,normal,4,2,30,0,0.0,0.0,0.113517091390478,14.966666666666667,6.503759596486396,4.0,0.0,2.3666666666666667,2.3666666666666667,11.033333333333333,0.92584434973402
wall_profile,tight,heuristic,medium,baseline,medium_plus,many,tight,4,2,30,12,0.4,0.24590394326083403,0.5767994750172616,10.333333333333334,2.3851391759997753,3.433333333333333,0.5666666666666667,0.8,1.3333333333333333,13.833333333333334,0.8937373600350753
wall_profile,tight,mcts_medium,medium,baseline,medium_plus,many,tight,4,2,30,19,0.6333333333333333,0.45513246433604937,0.7812629779598231,20.7,5.774368652357878,2.9,1.1,0.5333333333333333,1.4545454545454546,13.833333333333334,0.8937373600350753
wall_profile,tight,mcts_small,medium,baseline,medium_plus,many,tight,4,2,30,19,0.6333333333333333,0.45513246433604937,0.7812629779598231,17.3,5.544667107530743,3.0,1.0,0.7666666666666667,2.090909090909091,13.833333333333334,0.8937373600350753
wall_profile,tight,random,medium,baseline,medium_plus,many,tight,4,2,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,14.233333333333333,6.003795096066783,3.966666666666667,0.03333333333333333,2.433333333333333,2.5172413793103448,13.833333333333334,0.8937373600350753
