engine,agent,mcts_iterations,mcts_rollout_depth,mcts_exploration,size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,player_hp,enemy_hp,ofat_factor,ofat_value,max_steps,seed,episode,map_seed,experiment_name,cell_id,won,turns,damage_taken,final_hp,remaining_enemies,map_width,map_height,generated_enemy_count,generated_obstacle_count,generated_obstacle_density,structurally_valid,reachable_floor_fraction,interior_wall_density,dead_end_count,chokepoint_count,min_enemy_attack_distance,avg_enemy_attack_distance,max_enemy_attack_distance
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,23,34,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,12,4,0,1,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,2,4,4,7.666666666666667,14
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,24,35,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,7,4,0,1,13,11,3,8,0.09,1,0.9560439560439561,0.08080808080808081,2,3,2,3.3333333333333335,6
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,25,36,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,1,12,3,1,0,13,11,3,12,0.09,1,0.9655172413793104,0.12121212121212122,1,1,4,6.333333333333333,10
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,26,37,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,11,4,0,1,13,11,3,15,0.09,1,0.9523809523809523,0.15151515151515152,3,3,4,9.0,12
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,27,38,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,1,10,3,1,0,13,11,3,5,0.09,1,0.9680851063829787,0.050505050505050504,1,1,5,5.333333333333333,6
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,28,39,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,7,4,0,1,13,11,3,11,0.09,1,0.9659090909090909,0.1111111111111111,3,5,2,5.0,7
griddly,heuristic,,,,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,29,40,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,1,11,3,1,0,13,11,3,9,0.09,1,0.9555555555555556,0.09090909090909091,1,2,5,8.0,10
griddly,mcts_small,50,10,1.4142135623730951,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,0,11,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_small,1,21,3,1,0,13,11,3,16,0.09,1,0.963855421686747,0.16161616161616163,6,8,4,4.333333333333333,5
griddly,mcts_small,50,10,1.4142135623730951,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,1,12,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_small,1,16,3,1,0,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,2,2,3,5.0,7
griddly,mcts_small,50,10,1.4142135623730951,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,2,13,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_small,1,20,2,2,0,13,11,3,8,0.09,1,0.967032967032967,0.08080808080808081,3,5,2,5.333333333333333,9
griddly,mcts_small,50,10,1.4142135623730951,medium,baseline,medium_plus,many,open,medium_plus,many,low,4,2,baseline,baseline,120,11,3,14,ofat_real,ofat:factor=baseline:value=baseline:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_small,1,19,3,1,0,13,11,3,6,0.09,1,0.967741935483871,0.06060606060606061,2,4,3,8.333333333333334,12
