size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,avg_damage_taken_heuristic,avg_damage_taken_mcts_medium,avg_damage_taken_mcts_small,avg_damage_taken_random,avg_turns_heuristic,avg_turns_mcts_medium,avg_turns_mcts_small,avg_turns_random,win_rate_heuristic,win_rate_mcts_medium,win_rate_mcts_small,win_rate_random,win_rate_mcts_strong,skill_gap_mcts_medium_vs_heuristic,skill_gap_mcts_small_vs_heuristic,search_gain_medium_vs_small,balance_score,balance_label
medium,baseline,heavy,normal,normal,high,normal,default,3.933333333333333,3.2666666666666666,3.4,4.0,10.333333333333334,17.733333333333334,17.566666666666666,12.8,0.06666666666666667,0.43333333333333335,0.43333333333333335,0.0,,0.3666666666666667,0.3666666666666667,0.0,0.5499999999999999,too hard
medium,baseline,normal,normal,normal,default,normal,default,2.6,2.1,2.3,3.966666666666667,8.766666666666667,16.733333333333334,19.1,16.466666666666665,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.03333333333333333,,0.033333333333333326,0.033333333333333326,0.0,0.5333333333333333,too easy
medium,baseline,heavy,normal,open,high,normal,low,3.7,3.2333333333333334,3.3333333333333335,4.0,9.266666666666667,14.066666666666666,14.133333333333333,11.4,0.16666666666666666,0.4,0.4,0.0,,0.23333333333333336,0.23333333333333336,0.0,0.5066666666666666,too hard
medium,random_walk,normal,many,open,default,many,low,2.5,2.2,2.2666666666666666,3.8,15.633333333333333,37.166666666666664,30.1,27.9,0.9333333333333333,0.9666666666666667,1.0,0.13333333333333333,,0.033333333333333326,0.06666666666666665,-0.033333333333333326,0.4833333333333334,too easy
medium,baseline,normal,many,normal,default,many,default,2.4,2.066666666666667,2.033333333333333,3.8666666666666667,8.8,17.733333333333334,17.066666666666666,17.133333333333333,0.9666666666666667,1.0,1.0,0.06666666666666667,,0.033333333333333326,0.033333333333333326,0.0,0.4600000000000001,too easy
medium,arena,normal,normal,normal,default,normal,default,2.2666666666666666,1.8,2.1333333333333333,3.7333333333333334,10.9,20.7,18.6,16.966666666666665,0.9666666666666667,0.9666666666666667,1.0,0.13333333333333333,,0.0,0.033333333333333326,-0.033333333333333326,0.44000000000000006,too easy
medium,random_walk,normal,normal,open,default,normal,low,2.466666666666667,2.1333333333333333,2.2666666666666666,3.7333333333333334,15.7,36.266666666666666,29.566666666666666,27.333333333333332,0.9666666666666667,0.9666666666666667,1.0,0.13333333333333333,,0.0,0.033333333333333326,-0.033333333333333326,0.44000000000000006,too easy
medium,random_walk,heavy,normal,normal,high,normal,default,4.0,3.533333333333333,3.6,4.0,14.766666666666667,32.93333333333333,33.5,21.633333333333333,0.0,0.36666666666666664,0.26666666666666666,0.0,,0.36666666666666664,0.26666666666666666,0.09999999999999998,0.43666666666666665,too hard
medium,arena,normal,many,open,default,many,low,2.6666666666666665,1.9333333333333333,2.1666666666666665,3.8666666666666667,10.833333333333334,18.766666666666666,19.866666666666667,18.033333333333335,0.9666666666666667,1.0,1.0,0.13333333333333333,,0.033333333333333326,0.033333333333333326,0.0,0.42666666666666675,too easy
medium,random_walk,normal,normal,normal,default,normal,default,2.6333333333333333,2.433333333333333,2.533333333333333,3.8333333333333335,15.3,34.266666666666666,29.333333333333332,28.033333333333335,0.9666666666666667,1.0,0.9666666666666667,0.13333333333333333,,0.033333333333333326,0.0,0.033333333333333326,0.42666666666666675,too easy
medium,arena,normal,normal,open,default,normal,low,2.7333333333333334,1.9666666666666666,2.3333333333333335,3.8333333333333335,10.733333333333333,19.2,18.166666666666668,17.7,0.9666666666666667,0.9666666666666667,1.0,0.16666666666666666,,0.0,0.033333333333333326,-0.033333333333333326,0.4233333333333334,too easy
medium,arena,normal,many,normal,default,many,default,2.566666666666667,1.7666666666666666,2.3666666666666667,3.7666666666666666,10.866666666666667,18.933333333333334,17.5,18.7,0.9333333333333333,1.0,1.0,0.23333333333333334,,0.06666666666666665,0.06666666666666665,0.0,0.42000000000000004,too easy
medium,random_walk,normal,many,normal,default,many,default,2.6333333333333333,2.3333333333333335,2.1333333333333333,3.7666666666666666,15.2,33.86666666666667,29.3,28.533333333333335,0.9666666666666667,0.9666666666666667,1.0,0.2,,0.0,0.033333333333333326,-0.033333333333333326,0.40666666666666673,too easy
medium,random_walk,heavy,normal,open,high,normal,low,3.933333333333333,3.566666666666667,3.8,4.0,16.633333333333333,30.4,24.7,19.733333333333334,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.0,,0.26666666666666666,0.09999999999999999,0.16666666666666666,0.3899999999999999,too hard
