size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,avg_damage_taken_heuristic,avg_damage_taken_mcts_medium,avg_damage_taken_mcts_small,avg_damage_taken_random,avg_turns_heuristic,avg_turns_mcts_medium,avg_turns_mcts_small,avg_turns_random,win_rate_heuristic,win_rate_mcts_medium,win_rate_mcts_small,win_rate_random,win_rate_mcts_strong,skill_gap_mcts_medium_vs_heuristic,skill_gap_mcts_small_vs_heuristic,search_gain_medium_vs_small,balance_score,balance_label
small,baseline,normal,few,open,default,few,low,1.3,1.1,1.6,2.6,4.4,10.75,11.75,14.8,1.0,1.0,1.0,0.8,,0.0,0.0,0.0,0.050000000000000044,too easy
medium,arena,light,many,open,low,many,low,1.55,1.15,1.75,2.45,6.9,14.45,16.45,21.25,1.0,1.0,1.0,0.8,,0.0,0.0,0.0,0.050000000000000044,too easy
small,baseline,light,few,open,low,few,low,1.3,1.1,1.6,2.6,4.4,10.75,11.75,14.8,1.0,1.0,1.0,0.8,,0.0,0.0,0.0,0.050000000000000044,too easy
small,baseline,heavy,few,open,default,few,low,1.3,1.1,1.6,2.6,4.4,10.75,11.75,14.8,1.0,1.0,1.0,0.8,,0.0,0.0,0.0,0.050000000000000044,too easy
large,arena,heavy,few,open,high,few,low,3.95,3.85,3.85,4.0,13.5,14.85,14.1,15.15,0.05,0.1,0.1,0.0,,0.05,0.05,0.0,0.01499999999999993,too hard
large,random_walk,heavy,few,open,high,few,low,4.0,3.9,3.95,4.0,18.15,29.4,29.9,23.4,0.0,0.1,0.05,0.0,,0.1,0.05,0.05,0.009999999999999953,too hard
large,baseline,heavy,few,normal,high,few,default,4.0,3.85,3.85,4.0,10.0,14.25,16.3,12.3,0.0,0.1,0.05,0.0,,0.1,0.05,0.05,0.009999999999999953,too hard
large,baseline,heavy,few,open,high,few,low,3.9,3.9,4.0,4.0,10.65,13.65,13.95,12.6,0.05,0.05,0.0,0.0,,0.0,-0.05,0.05,-0.065,too hard
large,arena,heavy,few,normal,high,few,default,4.0,3.9,4.0,4.0,11.25,15.25,13.6,13.35,0.0,0.05,0.0,0.0,,0.05,0.0,0.05,-0.06999999999999998,too hard
large,arena,heavy,normal,normal,high,normal,default,4.0,3.95,4.0,4.0,12.05,17.05,14.45,14.5,0.0,0.05,0.0,0.0,,0.05,0.0,0.05,-0.06999999999999998,too hard
large,random_walk,heavy,normal,normal,high,normal,default,3.95,4.0,3.75,4.0,21.95,34.35,51.55,32.7,0.05,0.0,0.15,0.0,,-0.05,0.09999999999999999,-0.15,-0.14500000000000005,too hard
large,random_walk,heavy,few,normal,high,few,default,4.0,4.0,3.85,4.0,22.05,32.5,47.2,33.4,0.0,0.0,0.05,0.0,,0.0,0.05,-0.05,-0.15000000000000002,too hard
