size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,agent,episodes,wins,win_rate,win_rate_ci_low,win_rate_ci_high,avg_turns,std_turns,avg_damage_taken,avg_final_hp,avg_remaining_enemies,avg_remaining_enemies_on_losses,avg_chokepoints,avg_reachable_floor_fraction,avg_generated_enemy_count,avg_generated_obstacle_density,avg_interior_wall_density,avg_dead_end_count,avg_avg_enemy_attack_distance,avg_max_enemy_attack_distance
medium,arena,heavy,few,normal,high,few,default,mcts_medium,20,4,0.2,0.0806563532712,0.41602172202575993,15.85,4.54175076374739,3.8,0.2,2.25,2.8125,3.7,0.9536984448951996,4.0,0.12000000000000002,0.12727272727272726,3.25,7.85,7.85
medium,arena,heavy,few,normal,high,few,default,mcts_small,20,2,0.1,0.027865893984153206,0.30103820641179335,13.05,4.842261868176895,3.85,0.15,2.95,3.2777777777777777,3.7,0.9536984448951996,4.0,0.12000000000000002,0.12727272727272726,3.25,7.85,7.85
medium,arena,heavy,few,normal,high,few,default,random,20,0,0.0,0.0,0.1611301254949332,13.0,3.0166206257996713,4.0,0.0,3.65,3.65,3.7,0.9536984448951996,4.0,0.12000000000000002,0.12727272727272726,3.25,7.85,7.85
medium,arena,heavy,few,open,high,few,low,heuristic,20,0,0.0,0.0,0.1611301254949332,8.95,2.2688102609076854,4.0,0.0,3.05,3.05,1.4,0.9562802788609239,4.0,0.06000000000000001,0.07575757575757577,1.2,7.9,7.9
medium,arena,heavy,few,open,high,few,low,mcts_medium,20,6,0.3,0.14547527396899385,0.5189767762289793,14.65,3.66435533211505,3.65,0.35,2.15,3.0714285714285716,1.4,0.9562802788609239,4.0,0.06000000000000001,0.07575757575757577,1.2,7.9,7.9
medium,arena,heavy,few,open,high,few,low,mcts_small,20,1,0.05,0.008881219432873136,0.23613589351256675,15.2,6.153048025166064,3.95,0.05,3.0,3.1578947368421053,1.4,0.9562802788609239,4.0,0.06000000000000001,0.07575757575757577,1.2,7.9,7.9
medium,arena,heavy,few,open,high,few,low,random,20,0,0.0,0.0,0.1611301254949332,12.3,3.702701716314724,4.0,0.0,3.75,3.75,1.4,0.9562802788609239,4.0,0.06000000000000001,0.07575757575757577,1.2,7.9,7.9
medium,arena,heavy,many,normal,high,many,default,heuristic,20,1,0.05,0.008881219432873136,0.23613589351256675,10.55,2.5975950415721076,3.95,0.05,2.3,2.4210526315789473,3.7,0.9536984448951996,4.0,0.12000000000000002,0.12727272727272726,3.25,7.85,7.85
medium,arena,heavy,many,normal,high,many,default,mcts_medium,20,11,0.55,0.3420820083075997,0.7418049791429071,18.55,6.003957028493792,3.1,0.9,1.05,2.3333333333333335,3.7,0.9536984448951996,4.0,0.12000000000000002,0.12727272727272726,3.25,7.85,7.85
medium,arena,heavy,many,normal,high,many,default,mcts_small,20,7,0.35,0.18118954786794464,0.5671494897805354,15.45,4.318275118609281,3.55,0.45,1.7,2.6153846153846154,3.7,0.9536984448951996,4.0,0.12000000000000002,0.12727272727272726,3.25,7.85,7.85
medium,arena,heavy,many,normal,high,many,default,random,20,0,0.0,0.0,0.1611301254949332,13.1,3.491418050019218,4.0,0.0,3.55,3.55,3.7,0.9536984448951996,4.0,0.12000000000000002,0.12727272727272726,3.25,7.85,7.85
medium,arena,heavy,many,open,high,many,low,heuristic,20,1,0.05,0.008881219432873136,0.23613589351256675,9.75,3.014548058996572,3.95,0.05,2.7,2.8421052631578947,1.4,0.9562802788609239,4.0,0.06000000000000001,0.07575757575757577,1.2,7.9,7.9
medium,arena,heavy,many,open,high,many,low,mcts_medium,20,10,0.5,0.2992949144298199,0.7007050855701801,14.95,3.5843409436045564,3.05,0.95,1.65,3.3,1.4,0.9562802788609239,4.0,0.06000000000000001,0.07575757575757577,1.2,7.9,7.9
medium,arena,heavy,many,open,high,many,low,mcts_small,20,6,0.3,0.14547527396899385,0.5189767762289793,15.5,3.8535697735995385,3.6,0.4,2.1,3.0,1.4,0.9562802788609239,4.0,0.06000000000000001,0.07575757575757577,1.2,7.9,7.9
medium,arena,heavy,many,open,high,many,low,random,20,1,0.05,0.008881219432873136,0.23613589351256675,12.85,4.746314359584709,3.9,0.1,3.7,3.8947368421052633,1.4,0.9562802788609239,4.0,0.06000000000000001,0.07575757575757577,1.2,7.9,7.9
medium,arena,heavy,normal,normal,high,normal,default,heuristic,20,2,0.1,0.027865893984153206,0.30103820641179335,10.95,2.8368115905008566,3.9,0.1,2.05,2.2777777777777777,3.7,0.9536984448951996,4.0,0.12000000000000002,0.12727272727272726,3.25,7.85,7.85
medium,arena,heavy,normal,normal,high,normal,default,mcts_medium,20,11,0.55,0.3420820083075997,0.7418049791429071,17.9,5.494542747126461,3.0,1.0,1.05,2.3333333333333335,3.7,0.9536984448951996,4.0,0.12000000000000002,0.12727272727272726,3.25,7.85,7.85
medium,arena,heavy,normal,normal,high,normal,default,mcts_small,20,10,0.5,0.2992949144298199,0.7007050855701801,15.8,5.104899607240087,3.05,0.95,1.45,2.9,3.7,0.9536984448951996,4.0,0.12000000000000002,0.12727272727272726,3.25,7.85,7.85
medium,arena,heavy,normal,normal,high,normal,default,random,20,0,0.0,0.0,0.1611301254949332,12.4,2.4979991993593593,4.0,0.0,3.7,3.7,3.7,0.9536984448951996,4.0,0.12000000000000002,0.12727272727272726,3.25,7.85,7.85
medium,arena,heavy,normal,open,high,normal,low,heuristic,20,1,0.05,0.008881219432873136,0.23613589351256675,9.9,2.99833287011299,3.95,0.05,2.65,2.789473684210526,1.4,0.9562802788609239,4.0,0.06000000000000001,0.07575757575757577,1.2,7.9,7.9
medium,arena,heavy,normal,open,high,normal,low,mcts_medium,20,15,0.75,0.5312949900419365,0.888139947210597,17.35,4.541750763747389,2.8,1.2,0.6,2.4,1.4,0.9562802788609239,4.0,0.06000000000000001,0.07575757575757577,1.2,7.9,7.9
medium,arena,heavy,normal,open,high,normal,low,mcts_small,20,8,0.4,0.21880396741419272,0.613422057684794,16.8,6.6000000000000005,3.3,0.7,1.8,3.0,1.4,0.9562802788609239,4.0,0.06000000000000001,0.07575757575757577,1.2,7.9,7.9
